place_fips,place_name,is_gateway_city
2548710,"North Pembroke CDP, Massachusetts",False
2548780,"North Plymouth CDP, Massachusetts",False
2549165,"North Scituate CDP, Massachusetts",False
2549200,"North Seekonk CDP, Massachusetts",False
2549710,"North Westport CDP, Massachusetts",False
2546330,"Northampton city, Massachusetts",False
2546785,"Northborough CDP, Massachusetts",False
2547800,"Northfield CDP, Massachusetts",False
2549700,"Northwest Harwich CDP, Massachusetts",False
2550005,"Norton Center CDP, Massachusetts",False
2550285,"Norwood CDP, Massachusetts",False
2550425,"Oak Bluffs CDP, Massachusetts",False
2550862,"Ocean Bluff-Brant Rock CDP, Massachusetts",False
2550880,"Ocean Grove CDP, Massachusetts",False
2551160,"Onset CDP, Massachusetts",False
2551230,"Orange CDP, Massachusetts",False
2551405,"Orleans CDP, Massachusetts",False
2551790,"Oxford CDP, Massachusetts",False
2552144,"Palmer Town city, Massachusetts",False
2552490,"Peabody city, Massachusetts",True
2552770,"Pepperell CDP, Massachusetts",False
2553085,"Petersham CDP, Massachusetts",False
2553680,"Pinehurst CDP, Massachusetts",False
2553960,"Pittsfield city, Massachusetts",True
2554275,"Plymouth CDP, Massachusetts",False
2554450,"Pocasset CDP, Massachusetts",False
2555070,"Popponesset CDP, Massachusetts",False
2555090,"Popponesset Island CDP, Massachusetts",False
2555535,"Provincetown CDP, Massachusetts",False
2555745,"Quincy city, Massachusetts",True
2556000,"Randolph Town city, Massachusetts",False
2556095,"Raynham Center CDP, Massachusetts",False
2556165,"Reading CDP, Massachusetts",False
2556585,"Revere city, Massachusetts",True
2557845,"Rockport CDP, Massachusetts",False
2558370,"Rowley CDP, Massachusetts",False
2558615,"Russell CDP, Massachusetts",False
2558790,"Rutland CDP, Massachusetts",False
2558965,"Sagamore CDP, Massachusetts",False
2559105,"Salem city, Massachusetts",True
2559210,"Salisbury CDP, Massachusetts",False
2559700,"Sandwich CDP, Massachusetts",False
2560050,"Saugus CDP, Massachusetts",False
2560295,"Scituate CDP, Massachusetts",False
2560505,"Seabrook CDP, Massachusetts",False
2560627,"Seconsett Island CDP, Massachusetts",False
2560820,"Sharon CDP, Massachusetts",False
2561205,"Shelburne Falls CDP, Massachusetts",False
2561555,"Shirley CDP, Massachusetts",False
2561940,"Siasconset CDP, Massachusetts",False
2562300,"Smith Mills CDP, Massachusetts",False
2562465,"Somerset CDP, Massachusetts",False
2562535,"Somerville city, Massachusetts",False
2562780,"South Ashburnham CDP, Massachusetts",False
2563620,"South Deerfield CDP, Massachusetts",False
2563655,"South Dennis CDP, Massachusetts",False
2563690,"South Duxbury CDP, Massachusetts",False
2564460,"South Lancaster CDP, Massachusetts",False
2566035,"South Yarmouth CDP, Massachusetts",False
2563345,"Southbridge Town city, Massachusetts",False
2566070,"Spencer CDP, Massachusetts",False
2567000,"Springfield city, Massachusetts",True
2567700,"Stoneham CDP, Massachusetts",False
2568120,"Sturbridge CDP, Massachusetts",False
2568680,"Swampscott CDP, Massachusetts",False
2569170,"Taunton city, Massachusetts",True
2569205,"Teaticket CDP, Massachusetts",False
2569585,"The Pinehills CDP, Massachusetts",False
2570115,"Topsfield CDP, Massachusetts",False
2570325,"Townsend CDP, Massachusetts",False
2570815,"Turners Falls CDP, Massachusetts",False
